"_type","features","main_data","raw_info"
"dict","Telefon,Parking,Centralno grejanje,Terasa,Interfon","stan,220000.00 EUR,172.00 m,2,Beograd,Zvezdara,Konjarnik,Vladimira Gortana,4,6,5,2015","Tip: ,stan, ,Cena: ,220000.00 EUR, ,Površina: ,172.00 m,2, ,Grad: ,Beograd, ,Opština: ,Zvezdara, ,Deo: ,Konjarnik, ,Ulica: ,Vladimira Gortana, ,Sprat: ,4, ,Spratnost: ,6, ,Soba: ,5, ,Godina izgradnje: ,2015, ,Ana,011/334 88 36,065/303 94 39,http://www.kvadratnekretnine.com"
"dict","Uknjiženo,Telefon,Lift,Parking,Centralno grejanje,Terasa,Interfon,Podrum","stan,124000.00 EUR,105.00 m,2,Beograd,Vračar,Neimar,Sime Igumanova,3,10,4,1970","Tip: ,stan, ,Cena: ,124000.00 EUR, ,Površina: ,105.00 m,2, ,Grad: ,Beograd, ,Opština: ,Vračar, ,Deo: ,Neimar, ,Ulica: ,Sime Igumanova, ,Sprat: ,3, ,Spratnost: ,10, ,Soba: ,4, ,Godina izgradnje: ,1970, ,Ana,011/334 88 36,065/303 94 39,http://www.kvadratnekretnine.com"
"dict","Uknjiženo,Telefon,Interfon","stan,69500.00 EUR,42.00 m,2,Beograd,Vračar,Kalenić pijaca,Trnska,1,1.5,1970","Tip: ,stan, ,Cena: ,69500.00 EUR, ,Površina: ,42.00 m,2, ,Grad: ,Beograd, ,Opština: ,Vračar, ,Deo: ,Kalenić pijaca, ,Ulica: ,Trnska, ,Sprat: ,1, ,Soba: ,1.5, ,Godina izgradnje: ,1970, ,Ana,011/334 88 36,065/303 94 39,http://www.kvadratnekretnine.com"
"dict","Uknjiženo,Telefon,Daljinsko grejanje,Novogradnja,Terasa,Interfon","stan,130000.00 EUR,80.00 m,2,Beograd,Voždovac,Lekino brdo,Veselina Masleše,2,5,4","Tip: ,stan, ,Cena: ,130000.00 EUR, ,Površina: ,80.00 m,2, ,Grad: ,Beograd, ,Opština: ,Voždovac, ,Deo: ,Lekino brdo, ,Ulica: ,Veselina Masleše, ,Sprat: ,2, ,Spratnost: ,5, ,Soba: ,4, ,Art Ključ,011/4039-728, 011/3244-970,065/2704-377,http://www.artkljucnekretnine.com/"
"dict","Uknjiženo,Telefon,Lift,Centralno grejanje,Novogradnja,Terasa,Interfon","stan,135000.00 EUR,87.00 m,2,Beograd,Stari grad,Dorćol,Mihizova,1,4,3","Tip: ,stan, ,Cena: ,135000.00 EUR, ,Površina: ,87.00 m,2, ,Grad: ,Beograd, ,Opština: ,Stari grad, ,Deo: ,Dorćol, ,Ulica: ,Mihizova, ,Sprat: ,1, ,Spratnost: ,4, ,Soba: ,3, ,Art Ključ,011/4039-728, 011/3244-970,065/2704-377,http://www.artkljucnekretnine.com/"
"dict","Telefon,Daljinsko grejanje,Terasa,Interfon","stan,58900.00 EUR,80.00 m,2,Beograd,Zvezdara,Mirijevo,Mihaila Bulgakova,4,4,2.5","Tip: ,stan, ,Cena: ,58900.00 EUR, ,Površina: ,80.00 m,2, ,Grad: ,Beograd, ,Opština: ,Zvezdara, ,Deo: ,Mirijevo, ,Ulica: ,Mihaila Bulgakova, ,Sprat: ,4, ,Spratnost: ,4, ,Soba: ,2.5, ,Art Ključ,011/4039-728, 011/3244-970,065/2704-377,http://www.artkljucnekretnine.com/"
"dict","Uknjiženo,Telefon,Interfon,Podrum","stan,65000.00 EUR,37.00 m,2,Beograd,Vračar,Čubura,Vukice Mitrović,1,3,1.5","Tip: ,stan, ,Cena: ,65000.00 EUR, ,Površina: ,37.00 m,2, ,Grad: ,Beograd, ,Opština: ,Vračar, ,Deo: ,Čubura, ,Ulica: ,Vukice Mitrović, ,Sprat: ,1, ,Spratnost: ,3, ,Soba: ,1.5, ,Art Ključ,011/4039-728, 011/3244-970,065/2704-377,http://www.artkljucnekretnine.com/"
"dict","Uknjiženo,Telefon,Interfon","stan,175000.00 EUR,312.00 m,2,Beograd,Zemun,Centar (Zemun),Magistratski trg,2,2","Tip: ,stan, ,Cena: ,175000.00 EUR, ,Površina: ,312.00 m,2, ,Grad: ,Beograd, ,Opština: ,Zemun, ,Deo: ,Centar (Zemun), ,Ulica: ,Magistratski trg, ,Sprat: ,2, ,Spratnost: ,2, ,Art Ključ,011/4039-728, 011/3244-970,065/2704-377,http://www.artkljucnekretnine.com/"
"dict","Uknjiženo,Telefon,Centralno grejanje,Terasa,Interfon","stan,165000.00 EUR,102.00 m,2,Beograd,Vračar,Kalenić pijaca,Tomaša Ježa,1,4,3","Tip: ,stan, ,Cena: ,165000.00 EUR, ,Površina: ,102.00 m,2, ,Grad: ,Beograd, ,Opština: ,Vračar, ,Deo: ,Kalenić pijaca, ,Ulica: ,Tomaša Ježa, ,Sprat: ,1, ,Spratnost: ,4, ,Soba: ,3, ,Art Ključ,011/4039-728, 011/3244-970,065/2704-377,http://www.artkljucnekretnine.com/"
"dict","Telefon,Terasa,Interfon","stan,50000.00 EUR,120.00 m,2,Beograd,Čukarica,Banovo brdo,Slavonskih brigada,3,3,4.5","Tip: ,stan, ,Cena: ,50000.00 EUR, ,Površina: ,120.00 m,2, ,Grad: ,Beograd, ,Opština: ,Čukarica, ,Deo: ,Banovo brdo, ,Ulica: ,Slavonskih brigada, ,Sprat: ,3, ,Spratnost: ,3, ,Soba: ,4.5, ,Art Ključ,011/4039-728, 011/3244-970,065/2704-377,http://www.artkljucnekretnine.com/"
