,price,part,year,district,area,rooms,floor,tot_floors,type,street,cent_heat,rem_heat,intercom,internet,cable,sewer,aircon,elevator,new,parking,basement,phone,terrace,being_built,papers,enterable,euro_per_sqm,location_string,coordinates
0,220000.0,Konjarnik,2015.0,Zvezdara,172.0,5.0,4,6,stan,Vladimira Gortana,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1279.06976744,"Vladimira Gortana, Beograd","(44.7863832, 20.5156806)"
1,124000.0,Neimar,1970.0,Vračar,105.0,4.0,3,10,stan,Sime Igumanova,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1180.95238095,"Sime Igumanova, Beograd","(44.7921517, 20.4744391)"
2,69500.0,Kalenić pijaca,1970.0,Vračar,42.0,1.5,1,,stan,Trnska,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1654.76190476,"Trnska, Beograd","(44.8027465, 20.4773763)"
10,140000.0,Južni bulevar,2001.0,Vračar,86.0,3.0,2,6,stan,Sime Igumanova,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1627.90697674,"Sime Igumanova, Beograd","(44.7921517, 20.4744391)"
11,129900.0,Dorćol,1988.0,Stari grad,78.0,3.5,2,6,stan,Dunavski kej,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1665.38461538,"Dunavski kej, Beograd","(44.7689215, 20.61861)"
12,330000.0,Dorćol,2008.0,Stari grad,157.0,3.0,5,5,stan,Miće Popovića,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2101.91082803,"Miće Popovića, Beograd","(44.8205296, 20.4715858)"
15,399000.0,Centar (Stari grad),1934.0,Stari grad,179.0,5.0,1,6,stan,Terazije,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2229.05027933,"Terazije, Beograd","(44.8120805, 20.4615808)"
16,199990.0,Blok 63,2015.0,Novi Beograd,125.0,4.0,5,5,stan,Evropska,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1599.92,"Evropska, Beograd","(44.8086442, 20.3877758)"
17,440000.0,Kalenić pijaca,1954.0,Vračar,187.0,4.5,1,6,stan,Njegoševa,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2352.94117647,"Njegoševa, Beograd","(44.8464243, 20.4093497)"
18,244000.0,Neimar,1930.0,Vračar,140.0,4.0,,1,stan,Internacionalnih brigada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1742.85714286,"Internacionalnih brigada, Beograd","(44.7946566, 20.4733132)"
